Iteration,MeanEpisodeLength,MeanReward
1154,318.93,16.89
1155,347.91,17.82
1156,358.94,18.64
1157,348.06,18.01
1158,336.27,17.11
1159,348.33,18.17
1160,339.15,17.7
1161,352.64,18.93
1162,360.15,18.54
1163,351.25,18.44
1164,327.55,17.3
1165,357.49,18.73
1166,354.42,18.31
1167,309.78,16.53
1168,354.21,18.65
1169,362.6,19.15
1170,343.79,18.71
1171,374.91,19.8
1172,347.41,18.49
1173,358.56,18.62
1174,357.54,18.69
1175,334.28,17.2
1176,314.85,16.64
1177,347.08,18.36
1178,352.52,18.26
1179,341.13,18.26
1180,339.19,18.23
1181,363.55,19.16
1182,334.94,17.64
1183,337.36,17.63
1184,339.57,17.93
1185,318.17,16.66
1186,358.08,19.05
1187,350.7,18.69
1188,333.83,17.25
1189,345.68,18.46
1190,322.58,17.28
1191,346.95,18.66
1192,313.47,15.91
1193,364.09,19.01
1194,332.74,17.74
1195,320.31,16.75
1196,332.39,17.54
1197,331.73,17.81
1198,356.03,18.43
1199,321.23,16.77
1200,349.26,18.21
1201,356.38,18.18
1202,351.58,18.51
1203,373.15,19.61
1204,383.98,19.79
1205,347.91,18.52
1206,339.04,17.4
1207,338.92,17.7
1208,330.24,17.44
1209,373.86,19.7
1210,321.43,16.57
1211,342.84,18.02
1212,364.37,19.16
1213,329.46,17.34
1214,344.69,18.07
1215,349.44,18.52
1216,331.03,16.98
1217,340.77,17.48
1218,341.36,17.29
1219,325.94,16.68
1220,342.38,17.97
1221,352.26,18.23
1222,331.86,16.96
1223,330.03,17.1
1224,356.24,18.63
1225,369.54,19.13
1226,358.86,18.33
1227,353.76,18.57
1228,317.01,16.57
1229,327.38,17.04
1230,332.56,17
1231,306.36,15.7
1232,343.97,17.46
1233,351.55,17.68
1234,345.16,17.35
1235,337.01,17.04
1236,382.38,20.06
1237,368.26,18.84
1238,338.13,17.69
1239,337.13,17.63
1240,323.21,16.96
1241,367.33,19.05
1242,345.91,18.48
1243,350.85,18.04
1244,346.55,18.65
1245,322.82,16.45
1246,348.42,17.99
1247,322.67,17.06
1248,338.18,18.19
1249,350.62,17.96
1250,343.56,17.98
1251,348.92,17.96
1252,332.89,17.18
1253,327.15,16.95
1254,322.75,16.86
1255,337.2,17.66
1256,347.2,18.25
1257,345.4,18.22
1258,338.52,17.76
1259,316.63,16.4
1260,344.79,18.28
1261,363.25,19.06
1262,337.73,17.68
1263,377.18,19.41
1264,359.87,18.66
1265,365.62,19.27
1266,359.82,19.18
1267,322.62,16.81
1268,354.98,18.31
1269,343.86,17.71
1270,337.6,17.92
1271,354.98,18.53
1272,342.3,17.91
1273,330.57,17.5
1274,367.1,19.53
1275,337,17.8
1276,351.91,18.67
1277,339.73,18.31
1278,343.74,18.23
1279,348.56,18.65
1280,352.01,18.57
1281,332.46,17.61
1282,316.27,16.55
1283,341.26,17.83
1284,358.07,18.79
1285,348.81,18.49
1286,358.78,19.19
1287,328.76,17.42
1288,351.93,18.36
1289,341.78,17.48
1290,341,17.98
1291,347.11,18.68
1292,353.97,18.46
1293,359.23,18.81
1294,337.21,18.12
1295,344.06,18.05
1296,354.85,18.49
1297,340.85,17.97
1298,358.73,18.87
1299,369.58,20.07
1300,351.42,18.72
1301,333,17.67
1302,361.3,18.94
1303,347.44,18.15
1304,348.89,18.65
1305,355.59,18.92
1306,353.99,19.25
1307,356.44,18.62
1308,361.98,19.2
1309,336.65,18.14
1310,371,19.83
1311,354.53,18.68
1312,328.15,16.91
1313,337.09,17.59
1314,355.65,18.98
1315,336.43,17.92
1316,344.91,18.25
1317,376.56,19.99
1318,371.75,19.53
1319,358.29,19.36
1320,343.27,18.03
1321,364.62,18.97
1322,358.52,19.11
1323,340.19,18.21
1324,348.88,19.13
1325,344.51,18.04
1326,369.42,19.93
1327,347.74,18.3
1328,367.43,19.58
1329,363.48,19.39
1330,357.87,18.85
1331,335.4,17.43
1332,375.66,20.04
1333,333.06,17.87
1334,337.53,18.25
1335,374.32,20.33
1336,367.32,19.65
1337,352.22,18.55
1338,353.21,18.8
1339,351.35,18.43
1340,352.6,18.7
1341,344.33,18.17
1342,348.42,18.91
1343,359.58,19
1344,386.21,20.71
1345,369.8,19.97
1346,357.44,19.19
1347,354.48,18.79
1348,355.43,19.23
1349,340.6,18.33
1350,353.33,18.87
1351,376.78,20.04
1352,365.71,19.24
