Iteration,MeanEpisodeLength,MeanReward
922,391.95,13.15
923,353.08,11.85
924,376.01,12.25
925,391.13,13.25
926,360.03,11.61
927,381.6,12.6
928,322.6,10.73
929,372.37,12.44
930,358.87,11.64
931,359.58,12.13
932,350.76,12.06
933,394,13.36
934,355.87,11.81
935,338.24,11.55
936,377.32,12.87
937,342.49,11.49
938,374.83,12.15
939,362.37,12.03
940,360.33,11.82
941,339.99,11.39
942,321.87,10.91
943,343.36,11.63
944,380.65,12.83
945,367,12.76
946,370.34,12.82
947,352.69,11.98
948,344.17,11.26
949,358.41,12.07
950,394.71,13.82
951,362.86,12.43
952,374.79,12.5
953,396.8,13.65
954,388.85,13.07
955,359.58,11.76
956,375.91,12.72
957,384.78,13.06
958,389.04,13.44
959,375.58,12.81
960,372.29,13.08
961,352.74,12.01
962,351.08,12.13
963,391.66,13.49
964,365.95,12.3
965,398.94,13.61
966,390.42,13.31
967,338.96,11.63
968,350.62,11.77
969,341.23,11.62
970,397.2,14.23
971,317.39,10.77
972,361.25,12.27
973,353.87,12.48
974,369.3,13
975,361.58,12.6
976,335.83,11.13
977,393.83,13.82
978,394.03,13.67
979,357.26,12.27
980,375.51,12.85
981,352.24,11.79
982,353.99,12.34
983,369.42,12.66
984,375.13,12.89
985,377.34,12.96
986,377.4,12.36
987,369.42,12.92
988,367,12.7
989,359.23,12.54
990,380.16,13.06
991,357.15,11.75
992,413.43,14.27
993,383.23,13.03
994,379.37,13.01
995,364.66,12.26
996,375.47,12.62
997,378.98,13.27
998,378.45,13.12
999,357.05,11.99
1000,381.52,13.07
1001,385.83,13.67
1002,417.91,14.18
1003,385.77,12.91
1004,386.71,12.68
1005,369.06,12.62
1006,344.39,11.69
1007,364.2,12.25
1008,351.58,11.94
1009,384.63,13.18
1010,368.42,12.85
1011,373.29,12.73
1012,396.37,13.8
1013,384.26,13.04
1014,367.87,12.87
1015,397.83,14.07
1016,417.22,14.38
1017,381.87,13.66
1018,352.75,12.17
1019,384.64,13.62
1020,368.71,12.56
1021,343.5,11.7
1022,376.99,12.56
1023,381.66,13.05
1024,361.43,12.48
1025,342.91,12.34
1026,380.2,13.15
1027,353.31,11.98
1028,370.12,12.49
1029,384.65,12.79
1030,381.18,12.88
1031,376.79,12.34
1032,381.2,13.04
1033,409.3,13.86
1034,391.56,13.91
1035,337.3,11.53
1036,382.09,13.64
1037,403.93,13.85
1038,354.56,12.02
1039,333.02,11.39
1040,344.23,11.59
1041,383.59,13.39
1042,386.45,13.18
1043,379.93,12.99
1044,352.86,11.78
1045,370.98,12.43
1046,376.8,13.02
1047,401.78,13.79
1048,347.81,12.18
1049,374.72,12.54
1050,356.4,12.08
1051,378.54,12.72
1052,367.11,12.86
1053,396.43,13.82
1054,409.11,13.83
1055,386.66,13.1
1056,385.53,13.16
1057,384.35,13.12
1058,417.1,14.43
1059,408.68,14.46
1060,386.01,13.2
1061,361.73,12.51
1062,373.44,13.24
1063,393.2,13.96
1064,403.16,13.73
1065,373.64,13.22
1066,368.62,12.69
1067,354.09,12.03
1068,394.32,13.75
1069,360.69,12.33
1070,388.74,13.93
1071,379.73,13.19
1072,374.14,13.01
1073,359.59,12.67
1074,369.17,12.5
1075,390.14,13.62
1076,375.13,12.7
1077,376.32,13.59
1078,375.68,13.34
1079,406.14,14.04
1080,377.22,13.47
1081,390.91,13.84
1082,416.6,14.41
1083,381.75,13.77
1084,369.79,13.42
1085,368.29,13.19
1086,382.12,13.52
1087,359.37,12.78
1088,374.7,13.25
1089,414.13,14.42
1090,365.01,12.63
1091,380.79,13.78
1092,377.79,13.55
1093,377.31,13.67
1094,371.3,13.09
1095,381.84,13.87
1096,394.58,13.88
1097,381.56,13.47
1098,375.2,13.22
1099,378.8,13.58
1100,389.49,13.41
1101,391.69,13.86
1102,391.11,13.83
1103,386.18,14
1104,391.42,13.83
1105,378.43,13.56
1106,391.18,13.82
1107,404.86,14.17
1108,395.55,13.67
1109,393.8,14.01
1110,402.44,14.34
1111,380.58,13.37
1112,386.93,13.74
1113,410.3,14.34
1114,368.41,13.01
1115,406.39,15.07
1116,371.9,13.02
1117,386.42,13.56
1118,377.54,13.34
1119,376.44,13.39
1120,381.04,13.8
1121,371.65,13.01
1122,399.31,13.89
1123,389,13.91
1124,345.74,11.95
1125,404.4,14.71
1126,399.69,14.22
1127,423.01,15.02
1128,407.64,14.56
1129,364.11,12.94
1130,387.12,13.86
1131,395.08,14.2
1132,380.53,13.61
1133,360.3,12.37
1134,383.89,14.13
1135,402.82,14.72
1136,389.1,14.12
1137,398.52,14.67
1138,398.45,14.29
1139,369.09,13.1
1140,390.21,14.58
1141,409.72,15.16
1142,388.12,13.69
1143,403.93,14.56
1144,401.91,14.44
1145,380.44,13.96
1146,385.58,14.03
1147,410.86,14.72
1148,382.07,13.9
1149,402.47,14.75
1150,383.45,13.87
1151,410.18,14.42
1152,419.11,15.17
1153,389.06,13.88
1154,421.79,15.14
1155,392.46,14.33
1156,395.97,14.97
1157,406.73,15.39
1158,374.06,13.65
1159,398.08,13.88
1160,374.54,13.68
1161,411.88,14.9
1162,372.43,13.76
1163,402.89,15.08
1164,398.04,14.56
1165,400.66,14.63
1166,385.53,13.96
1167,391.27,14.23
1168,406.65,14.99
1169,402.08,14.79
1170,392.85,14.52
1171,406.34,14.89
1172,427.86,15.65
1173,398.67,14.89
1174,392.68,14.46
1175,427.52,15.97
1176,386.78,13.68
1177,385.69,14.38
1178,394.17,14.57
1179,393.58,14.5
1180,409.16,14.95
1181,373.25,13.37
1182,399.77,14.75
1183,416.61,15.57
1184,401.18,13.88
1185,425.9,15.72
1186,383.18,13.79
1187,416.1,15.62
1188,422.3,15.75
1189,390.71,14.01
1190,393.73,14.19
1191,413.72,14.75
1192,396.5,14.73
1193,382.55,14.27
1194,414.91,15.33
1195,408.96,14.59
1196,385.79,14.13
1197,436.14,15.74
1198,406.58,14.5
1199,414.49,15.28
1200,408.37,15.24
1201,431.26,16.34
1202,384.12,14.18
1203,360.17,13.34
1204,394.12,14.59
1205,396.67,14.02
1206,387.87,14.1
1207,424.3,15.66
1208,374.5,13.34
1209,405.45,15.25
1210,413.82,14.97
1211,438.75,16.13
1212,398.09,14.41
1213,407.72,15.04
1214,402.41,14.77
1215,402.09,14.26
1216,390.56,14.67
1217,397.78,14.55
1218,415.99,15.16
1219,396.3,14.66
1220,404.46,14.89
1221,390.9,14.23
1222,396.24,14.25
1223,407.98,15.04
1224,416.48,15.78
1225,404.95,14.55
1226,401.6,15.15
1227,411.97,15.74
1228,406.55,14.83
1229,423.94,15.72
1230,408.61,14.95
1231,390.63,14.1
1232,399.67,14.63
1233,396.87,14.79
1234,379.96,13.99
1235,384.21,14.1
1236,373.68,13.68
1237,357.78,13.07
1238,384.43,13.83
