time	root_x	root_y	root_z
11.800000	3.870452	-0.513775	0.849312
11.820000	3.844283	-0.510446	0.854204
11.840000	3.818807	-0.506008	0.857622
11.860000	3.796057	-0.500584	0.859726
11.880000	3.776046	-0.495057	0.861713
11.900000	3.757365	-0.490717	0.864225
11.920000	3.738668	-0.488556	0.867297
11.940000	3.719173	-0.488643	0.870697
11.960000	3.698779	-0.490579	0.873989
11.980000	3.677705	-0.493795	0.876764
12.000000	3.656097	-0.497941	0.878885
12.020000	3.633855	-0.502835	0.880443
12.040000	3.611097	-0.508109	0.881300
12.060000	3.588016	-0.513396	0.881308
12.080000	3.564644	-0.518428	0.880245
12.100000	3.541157	-0.522837	0.877724
12.120000	3.517921	-0.526485	0.873548
12.140000	3.495168	-0.529578	0.867974
12.160000	3.472540	-0.532766	0.861698
12.180000	3.449457	-0.536752	0.855162
12.200000	3.425569	-0.541533	0.848677
12.220000	3.400559	-0.546796	0.842641
12.240000	3.374029	-0.552502	0.837265
12.260000	3.345610	-0.558623	0.832446
12.280000	3.316923	-0.565371	0.829396
12.300000	3.287943	-0.572789	0.828846
12.320000	3.257676	-0.580422	0.829708
12.340000	3.226821	-0.588264	0.831368
12.360000	3.198545	-0.597048	0.835209
12.380000	3.172276	-0.606268	0.841446
12.400000	3.147096	-0.615014	0.847698
12.420000	3.123967	-0.623001	0.853290
12.440000	3.103090	-0.629958	0.858384
12.460000	3.083059	-0.635804	0.863325
12.480000	3.062397	-0.640419	0.868111
12.500000	3.040867	-0.643664	0.872535
12.520000	3.019150	-0.645635	0.876466
12.540000	2.997817	-0.646658	0.879904
12.560000	2.977100	-0.647061	0.882819
12.580000	2.957089	-0.647063	0.885100
12.600000	2.937757	-0.646862	0.886648
12.620000	2.918818	-0.646819	0.887319
12.640000	2.899822	-0.647427	0.887037
12.660000	2.880398	-0.649022	0.885773
12.680000	2.860451	-0.651460	0.883512
12.700000	2.840069	-0.654300	0.880360
12.720000	2.819362	-0.657034	0.876506
12.740000	2.798173	-0.659405	0.872311
12.760000	2.776061	-0.661435	0.867977
12.780000	2.752454	-0.663239	0.863407
12.800000	2.727083	-0.664951	0.858370
12.820000	2.700147	-0.666842	0.852592
12.840000	2.672042	-0.669325	0.846167
12.860000	2.643269	-0.672235	0.839658
12.880000	2.616005	-0.673979	0.835944
12.900000	2.588378	-0.675984	0.835089
12.920000	2.560039	-0.678757	0.836812
12.940000	2.531223	-0.681601	0.840435
12.960000	2.502217	-0.683229	0.844869
12.980000	2.473610	-0.682917	0.849647
13.000000	2.446773	-0.680581	0.854114
13.020000	2.423152	-0.677310	0.857512
13.040000	2.402488	-0.673966	0.860526
13.060000	2.383045	-0.671228	0.863709
13.080000	2.363171	-0.669647	0.867155
13.100000	2.342153	-0.669674	0.870719
13.120000	2.320309	-0.671395	0.874143
13.140000	2.298214	-0.674487	0.877112
13.160000	2.276212	-0.678476	0.879397
13.180000	2.254117	-0.683011	0.881025
13.200000	2.231707	-0.687824	0.882072
13.220000	2.208976	-0.692763	0.882564
13.240000	2.185917	-0.697583	0.882225
13.260000	2.162553	-0.701875	0.880614
13.280000	2.138920	-0.705715	0.877718
13.300000	2.115254	-0.709643	0.873541
13.320000	2.091558	-0.713861	0.868719
13.340000	2.067491	-0.718729	0.863609
